2.7796394198,-1.4011675562,-1.3117424529,-2.7234278982,-1.2664297044,1.6225580049,-1.1565179923
-0.2970669836,1.6368985686,1.8230934698,-2.7117831081,-1.3677760925,1.4062155024,-1.1090680198
2.8157356680,-1.5306703700,-1.3179490495,-2.7165084488,-1.3234821021,1.5042092086,-1.1281682921
2.7487589996,-1.2969258726,-1.3016986744,-2.7299937779,-1.2169947167,1.7167852598,-1.1838808354
-0.3202345041,1.5513138348,1.8232298333,-2.7155247726,-1.3322351087,1.4852265098,-1.1241755280
-0.4330599477,1.1735350812,1.8589339237,-2.7390433058,-1.1528311173,1.8268976078,-1.2224295764
-0.3181415173,1.5590178218,1.8231139802,-2.7151658391,-1.3354817786,1.4781345933,-1.1227208242
2.8787792601,-1.7625284217,-1.3142205815,-2.7072548158,-1.4184389265,1.2893994123,-1.0909457639
-0.3529277409,1.4329175340,1.8277265778,-2.7216089952,-1.2808054095,1.5936662933,-1.1490195739
-0.3532068111,1.4319284221,1.8277865897,-2.7216644304,-1.2803617617,1.5945676269,-1.1492476091
0.2450828087,-1.2237262556,1.2914573733,-2.7351848585,1.1797915476,1.7823116058,-2.8879502415
-0.4740246151,1.0638655913,1.8842467603,-2.7483992079,-1.0888625676,1.9232129552,-1.2634595842
2.6898985999,-1.1216311564,-1.2718147191,-2.7433065885,-1.1235018943,1.8726816000,-1.2409658978
2.8701776901,-1.7312905053,-1.3157791567,-2.7082741629,-1.4059522371,1.3185331757,-1.0950103683
2.8235156790,-1.5592555410,-1.3184819173,-2.7151548341,-1.3355817944,1.4779156948,-1.1226762405
-0.3432909861,1.4673345623,1.8258774927,-2.7197284494,-1.2960850686,1.5622543237,-1.1413022669
-0.4937364172,1.0167840224,1.8982101516,-2.7528389725,-1.0588350891,1.9640373180,-1.2834093671
-0.3184305922,1.5579532293,1.8231287497,-2.7152151763,-1.3350337521,1.4791148528,-1.1229207091
-2.8769512514,1.1661124063,-1.8603707086,-2.7396355897,1.1487316981,1.8334658837,-2.8688277976
2.7358323860,-1.2556349723,-1.2962769261,-2.7328602397,-1.1962955888,1.7538177491,-1.1959808415
-0.3642183192,1.3932810353,1.8304420114,-2.7238924508,-1.2628140052,1.6297212938,-1.1584386011
0.2660365896,-1.1621441838,1.2804387623,-2.7399545738,1.1465275893,1.8369745545,-2.8674470870
-0.3801610794,1.3388055312,1.8352633304,-2.7272434530,-1.2373049675,1.6790504380,-1.1723610491
-0.3196127181,1.5536015513,1.8231932554,-2.7154177241,-1.3332003097,1.4831209820,-1.1237415554
2.7574638047,-1.3255503609,-1.3049540944,-2.7280972326,-1.2309465542,1.6910120595,-1.1759279369
-0.3218921085,1.5452194201,1.8233362746,-2.7158118546,-1.3296592422,1.4908337808,-1.1253398717
-0.3238941091,1.5378678300,1.8234821575,-2.7161618548,-1.3265429388,1.4975942341,-1.1267604338
2.6568346931,-1.0377845718,-1.2498723240,-2.7508254277,-1.0724436215,1.9458698302,-1.2743205638
-0.3632361288,1.3966965909,1.8301825088,-2.7236906287,-1.2643821880,1.6266196182,-1.1576039321
-0.3477349925,1.4514019997,1.8266761841,-2.7205873596,-1.2890489916,1.5768075547,-1.1448226494
